"phenotype_number","phenotype_name","phenotype_name_short","AIC_1r","AIC_2r","deltaAIC","p","statusCode_2r","statusCode_1r"
65,"hardPalate_HIML_interM2_prosthion_distance","HIML*",3025.25217273408,3023.87860219891,1.37357053517326,0.0662500278556575,"OK","OK"
66,"hardPalate_HACL_hpa_intercanine_distance","HACL",3490.61458968412,3491.55810023402,-0.943510549901475,0.304017227760801,"OK","OK"
67,"hardPalate_HAPL_hpa_interPM2_distance","HAPL",3305.14333818435,3306.35053893486,-1.20720075050531,0.373255033861238,"OK","OK"
68,"hardPalate_HAML_hpa_interM2_distance","HAML",3153.84459891534,3151.01767942225,2.82691949308992,0.0280186503483503,"OK","OK"
69,"hardPalate_HARC_hpaIntercanineProj_occlusalPlane_alvRidge_angl","HARC",3469.78133203185,3471.55422736169,-1.7728953298365,0.63367903216636,"OK","OK"
70,"hardPalate_HARF_frontSegSlope_occlusalPlane_alvRidge_angle","HARF",3523.93375945186,3525.93264622029,-1.99888676842693,0.973383420306273,"OK","OK"
71,"hardPalate_HACP_canPM2Proj_occlusalPlane_postAlvSlope_angle","HACP",3380.565337119,3382.55865355368,-1.99331643467667,0.934843071577294,"OK","OK"
72,"hardPalate_HDMP_m2PM2Proj_occlusalPlane_palateDome_angle","HDMP",3129.43008900522,3128.28548313465,1.14460587057238,0.0761784029208975,"OK","OK"
73,"hardPalate_HMSP_midsagittalTrace_matlabProcDistance","HMSP",3532.34832099922,3534.33904009061,-1.99071909138956,0.923252550716242,"OK","OK"
74,"hardPalate_HCCP_coronalCanineTrace_matlabProcDistance","HCCP",3515.45499131109,3517.21914121615,-1.76414990505782,0.627219594247383,"OK","OK"
75,"hardPalate_HCPP_coronalPM2Trace_matlabProcDistance","HCPP",3387.94637377637,3389.94290104028,-1.99652726391605,0.953007922601115,"OK","OK"
76,"hardPalate_HCMP_coronalM2Trace_matlabProcDistance","HCMP",3463.93496940236,3465.9091949743,-1.97422557194432,0.872452436254037,"OK","OK"
77,"softPalate_SPUN_uvula_nsp_distance","SPUN",3142.13446617568,3143.71854096705,-1.58407479137622,0.51897732077233,"OK","OK"
78,"denition_DICD_intercanine_distance","DICD",2996.67046644394,2996.24801157863,0.422454865306463,0.11960736311672,"OK","OK"
79,"denition_DIPD_interPM2_distance","DIPD",2798.31672929022,2800.03257184065,-1.71584255043763,0.593989134499525,"OK","OK"
80,"denition_DIMD_interM2_distance","DIMD",2817.23293914639,2818.62760478281,-1.39466563641508,0.436549932402257,"OK","OK"
81,"denition_DIIL_apexInferior_incisionInferior_distance","DIIL",3510.48913204197,3512.34110775391,-1.85197571194249,0.700430614493032,"OK","OK"
